Yr,Tm,FG%,3P%,2P%,Age,ORtg,DRtg,NRtg,Pace,3PAr,TS%,eFG%,TOV%,ORB%,eFG%,TOV%,DRB%,Championship
2014,Atlanta Hawks,0.385,0.343,0.414,27.9,101.9,103,-1.1,90.7,0.417,0.515,0.456,13.1,20.4,0.5,14.6,76.2,N
2014,Brooklyn Nets,0.463,0.342,0.515,30.7,110.5,112,-1.5,86.4,0.302,0.555,0.514,12.5,25.1,0.516,13.3,77,N
2014,Charlotte Hornets,0.449,0.365,0.481,25.5,101.5,112.3,-10.8,90.6,0.282,0.537,0.5,14.9,20.8,0.539,10.7,85.7,N
2014,Chicago Bulls,0.422,0.333,0.451,28.6,103,108.3,-5.3,85.6,0.244,0.508,0.463,13,27.9,0.479,10.2,72.2,N
2014,Dallas Mavericks,0.451,0.376,0.478,31.3,110,112.1,-2.1,92,0.259,0.532,0.5,10.7,26.4,0.542,13.4,76.6,N
2014,Golden State Warriors,0.46,0.364,0.505,26.2,110.2,114.8,-4.6,96.6,0.316,0.558,0.518,15.3,30.8,0.529,12.9,72.1,N
2014,Houston Rockets,0.445,0.318,0.495,25.2,114.8,114.4,0.4,92.7,0.28,0.534,0.49,11.7,35.3,0.507,10.6,72.8,N
2014,Indiana Pacers,0.451,0.38,0.476,27.1,103.7,104.8,-1.1,88.3,0.258,0.54,0.5,13.8,21.1,0.493,13.6,77,N
2014,Los Angeles Clippers,0.461,0.355,0.507,28.2,113.3,111.3,2,96,0.302,0.555,0.515,11.4,26.2,0.521,14.9,70.4,N
2014,Memphis Grizzlies,0.417,0.29,0.443,29.7,102.8,108.5,-5.7,88.8,0.173,0.486,0.442,10.1,27,0.483,14.1,69,N
2014,Miami Heat,0.491,0.396,0.536,31.1,112.8,110.8,2,86.2,0.326,0.594,0.555,12.9,17.1,0.539,14.2,75.3,N
2014,Oklahoma City Thunder,0.45,0.323,0.5,26.6,108.1,109.2,-1.1,92.3,0.287,0.551,0.496,14,27.1,0.485,10.5,74.2,N
2014,Portland Trail Blazers,0.437,0.347,0.469,25.8,107.2,113.6,-6.4,94.6,0.26,0.529,0.482,12.3,26.1,0.508,10.4,70.6,N
2014,San Antonio Spurs,0.491,0.409,0.521,29.6,114.2,104.2,10,92.7,0.267,0.583,0.546,12.1,23.6,0.492,13.4,77.2,Y
2014,Toronto Raptors,0.441,0.313,0.492,25.2,108.2,110,-1.8,88.8,0.283,0.553,0.486,15,26.8,0.506,11.8,77,N
2014,Washington Wizards,0.432,0.335,0.458,26.8,102,100.9,1.1,87.8,0.211,0.504,0.468,12.5,27.9,0.471,12.7,79.7,N
2013,Atlanta Hawks,0.422,0.33,0.452,27.3,98,103.6,-5.6,91.2,0.241,0.503,0.462,12,18.6,0.455,14.4,70,N
2013,Boston Celtics,0.413,0.331,0.448,29.7,92.9,98.9,-6,87.1,0.3,0.525,0.463,18.1,14,0.462,12.7,76.3,N
2013,Brooklyn Nets,0.442,0.316,0.48,28.5,107.8,105.6,2.2,88.3,0.232,0.524,0.479,10.9,27.4,0.497,12.4,74,N
2013,Chicago Bulls,0.438,0.319,0.47,27.5,102.5,110,-7.5,87.4,0.213,0.511,0.472,13.7,28.4,0.501,11.9,74.5,N
2013,Denver Nuggets,0.438,0.311,0.484,26.4,105.9,110.2,-4.3,97.2,0.265,0.526,0.479,12.9,26.3,0.554,17,72.9,N
2013,Golden State Warriors,0.462,0.388,0.489,24.6,106.4,106.2,0.2,94,0.265,0.546,0.513,14.9,27.5,0.483,11.9,75,N
2013,Houston Rockets,0.424,0.347,0.479,25.4,105.3,111.4,-6.1,95,0.416,0.537,0.496,14.5,24.8,0.511,12,77.2,N
2013,Indiana Pacers,0.433,0.327,0.47,25.6,104.5,104.4,0.1,87.3,0.258,0.528,0.475,15.9,32.4,0.473,11.4,76.8,N
2013,Los Angeles Clippers,0.467,0.304,0.522,29.1,107.5,113.8,-6.3,88,0.254,0.552,0.506,13.5,24.3,0.486,10.2,73.3,N
2013,Los Angeles Lakers,0.442,0.27,0.496,29.2,92.5,112.9,-20.4,92.1,0.237,0.495,0.474,16.1,20.2,0.527,9.8,78.3,N
2013,Memphis Grizzlies,0.418,0.324,0.439,27.9,105,104.3,0.7,88.4,0.182,0.502,0.447,10.2,27.2,0.493,13.8,77.5,N
2013,Miami Heat,0.468,0.381,0.499,30.1,110.2,102.9,7.3,87.3,0.264,0.559,0.518,13.1,25.2,0.48,15.6,71.1,Y
